Tip Matrice,Tip alocare,Nr threads,Timp executie
,,4,54.5
,,4,0.33328
,,4,0.32797
,,4,0.39761
,,1,0.17269
,,1,0.31234
,,1,0.14606
,,1,0.13635
,,1,0.08038
,,1,0.21236
,,1,9.51622
,,2,10.18036
,,4,11.20789
,,8,17.13228
,,16,30.76085
,,1,9.15951
,,2,9.20184
,,4,13.12715
,,8,17.47483
,,16,33.31838
,,1,11.67292
,,2,12.06742
,,4,14.64104
,,8,21.64237
,,16,41.4656
,,1,11.12458
,,2,11.52698
,,4,13.25387
,,8,22.00431
,,16,41.52053
,,2,0.27812
,,4,0.30239
,,8,0.37453
,,16,0.56859
,,2,0.21648
,,4,0.2656
,,8,0.38113
,,16,0.63602
,,2,0.27537
,,4,0.27175
,,8,0.3872
,,16,0.59105
,,2,0.26978
,,4,0.3445
,,8,0.35001
,,16,0.60266
,,2,0.3441
,,4,0.37058
,,8,0.46962
,,16,0.75344
,,2,0.34849
,,4,0.36577
,,8,0.4948
,,16,0.74306
,,2,0.27584
,,4,0.49265
,,8,0.5429
,,8,0.5096
,,16,0.71813
,,16,0.80369
,,16,1.15289
